Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020
Tax revenue (% of GDP),GC.TAX.TOTL.GD.ZS,,,,,,,,,,,,,11.8199373,11.49521249,11.83762036,11.1858005,10.74883688,11.61864632,11.54235905,12.00380309,12.13835265,12.55050604,11.97862664,10.34826823,10.15971565,10.38424016,10.16304589,10.94884573,10.59594327,10.78244038,10.46528476,10.32034243,9.984161837,10.30493432,10.62350664,10.98098904,11.37391458,11.82819655,12.32982914,12.26062892,12.96903235,11.85782535,9.861419855,9.389222393,9.540177991,10.68382785,11.31127437,11.30738778,10.31601226,7.919453277,8.595732842,9.574003765,9.798255726,10.51994855,10.94785005,11.21749659,10.90228374,11.72501475,9.911238407,10.02110881,
Social contributions (current LCU),GC.REV.SOCL.CN,,,,,,,,,,,,,50480000000,60930000000,72730000000,81970000000,87950000000,1.04E+11,1.18E+11,1.35E+11,1.54E+11,1.79E+11,1.97E+11,2.05E+11,2.35E+11,2.60E+11,2.79E+11,2.99E+11,3.30E+11,3.55E+11,3.84E+11,4.00E+11,4.18E+11,4.33E+11,4.67E+11,4.90E+11,5.15E+11,5.45E+11,5.78E+11,6.18E+11,6.59E+11,7.23E+11,7.39E+11,7.63E+11,8.09E+11,8.53E+11,9.06E+11,9.47E+11,9.74E+11,9.51E+11,9.71E+11,9.03E+11,9.38E+11,1.09E+12,1.14E+12,1.19E+12,1.22E+12,1.28E+12,1.34E+12,1.40E+12,
"Account ownership at a financial institution or with a mobile-money-service provider, secondary education or more (% of population ages 15+)",FX.OWN.TOTL.SO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,89.93979645,,,94.34539032,,,94.37926483,,,
Wholesale price index (2010 = 100),FP.WPI.TOTL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Total reserves (includes gold, current US$)",FI.RES.TOTL.CD,19664164000,18825530000,17252463900,16878648000,16725493600,15498323200,14953446600,14898992000,17857180000,17031416000,15236515800,14831073226,20573775352,33703588954,55700252549,43154974089,44162131646,53374370833,69447964988,1.43E+11,1.71E+11,1.24E+11,1.43E+11,1.23E+11,1.05E+11,1.18E+11,1.40E+11,1.62E+11,1.44E+11,1.69E+11,1.73E+11,1.59E+11,1.48E+11,1.65E+11,1.64E+11,1.76E+11,1.61E+11,1.35E+11,1.46E+11,1.36E+11,1.28E+11,1.30E+11,1.58E+11,1.84E+11,1.90E+11,1.88E+11,2.21E+11,2.78E+11,2.94E+11,4.04E+11,4.89E+11,5.37E+11,5.74E+11,4.49E+11,4.34E+11,3.84E+11,4.06E+11,4.51E+11,4.50E+11,5.17E+11,
Level of water stress: freshwater withdrawal as a proportion of available freshwater resources,ER.H2O.FWST.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.609486,,,,,,
Urban population living in areas where elevation is below 5 meters (% of total population),EN.POP.EL5M.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.328829426,,,,,,,,,,2.245915061,,,,,,,,,,2.263941857,,,,,,,,,,
"PM2.5 air pollution, population exposed to levels exceeding WHO guideline value (% of total)",EN.ATM.PM25.MC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47.99773704,,,,,44.69445371,,,,,43.08134508,,,,,44.22056176,,,,,38.21303236,46.68619853,28.65808101,20.84055734,11.73129721,8.465306507,3.334435592,3.34317037,,,
Agricultural methane emissions (% of total),EN.ATM.METH.AG.ZS,,,,,,,,,,,30.82163758,32.37159191,32.10024266,32.25960565,33.44151472,33.68067398,32.76500731,32.58981001,32.34578131,30.7929909,31.36396684,32.12680901,31.89010285,31.71521051,30.94431516,30.41165166,29.71947827,28.83354242,28.35920682,27.74893379,27.09019314,27.72109709,28.56886718,29.09907289,29.87713824,30.83491442,31.17826856,31.43152784,32.14800148,32.88587495,33.27690082,33.63283661,33.81141944,33.73457686,34.39676197,35.39877131,35.57526462,35.87710649,35.95119951,,,,,,,,,,,,
CO2 emissions from gaseous fuel consumption (% of total),EN.ATM.CO2E.GF.ZS,21.81276164,22.11194863,22.66065486,23.05195492,23.3321095,23.09830185,23.66438698,23.86565578,24.45942842,25.31627001,24.48837487,25.19817322,24.45998551,23.15173841,22.89949355,22.21647996,21.57489165,20.32090069,20.0585567,20.72389978,21.21563844,21.40115318,20.97864467,19.76629188,19.81955038,19.15795127,18.18399836,18.46470676,18.54753846,18.95404522,20.81477686,21.78758414,21.81459799,21.9003859,22.05906382,22.64231011,21.94232348,21.62688465,21.14981034,21.81406494,22.04456547,21.07822675,21.72726321,20.96644351,20.30393146,20.08723944,20.21022563,21.50102332,22.10078237,23.32992655,23.63204486,24.74486051,26.86218228,26.92660128,27.56524113,28.94833212,29.93339589,,,,
Electricity production from oil sources (% of total),EG.ELC.PETR.ZS,6.422577059,6.23997296,5.799547806,5.726418405,5.854436759,6.220290399,6.97403116,7.410410526,7.905655016,9.667085884,12.12396645,13.81958224,15.83807328,17.09379097,16.45073531,15.38072555,16.01468131,17.16725182,16.86267129,13.76344842,10.84377008,9.063103195,6.609050191,6.313249273,5.00219879,4.089203026,5.53641214,4.66614922,5.574550689,5.604328291,4.079195382,3.904248684,3.256561417,3.740476247,3.49139442,2.450248344,2.649535336,2.94968711,3.866443563,3.503734732,2.943005078,3.374907622,2.636052711,3.379207423,3.353093479,3.309762006,1.839082987,1.80706605,1.330330787,1.211049612,1.104317669,0.913504375,0.774312765,0.859739209,0.923259081,0.90380652,,,,,
"Debt service on external debt, public and publicly guaranteed (PPG) (TDS, current US$)",DT.TDS.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net official development assistance and official aid received (current US$),DT.ODA.ALLD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"PPG, private creditors (NFL, current US$)",DT.NFL.PRVT.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net official flows from UN agencies, IFAD (current US$)",DT.NFL.IFAD.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"External debt stocks, public and publicly guaranteed (PPG) (DOD, current US$)",DT.DOD.DPPG.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Portugal (current US$)",DC.DAC.PRTL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Net bilateral aid flows from DAC donors, Spain (current US$)",DC.DAC.ESPL.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
S&P Global Equity Indices (annual % change),CM.MKT.INDX.ZG,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-6.559139785,26.30670462,4.464264307,7.055151362,-1.539286097,34.11065386,20.26366633,31.00818101,26.66859021,19.52604476,-10.13918666,-13.04245587,-23.36624923,26.3800371,8.993539541,3.001582369,13.61920011,3.529201948,-38.48525633,23.45381732,12.78207916,-0.002479529,13.40569,29.60125,11.39063819,-0.726601583,9.535015705,19.41996489,-6.237259822,28.49950787,
"Primary income receipts (BoP, current US$)",BX.GSR.FCTY.CD,,,,,,,,,,,11750000000,12710000000,14770000000,21780000000,27630000000,25370000000,29290000000,32400000000,42470000000,64370000000,72670000000,86650000000,86320000000,85263000000,1.05E+11,93731000000,97064000000,1.08E+11,1.37E+11,1.61E+11,1.72E+11,1.49E+11,1.34E+11,1.36E+11,1.67E+11,2.10E+11,2.26E+11,2.57E+11,2.62E+11,3.03E+11,3.66E+11,3.11E+11,3.06E+11,3.47E+11,4.33E+11,5.36E+11,6.70E+11,8.17E+11,8.20E+11,6.53E+11,7.23E+11,7.91E+11,7.92E+11,8.12E+11,8.46E+11,8.25E+11,8.58E+11,9.98E+11,1.11E+12,1.14E+12,
Current account balance (% of GDP),BN.CAB.XOKA.GD.ZS,,,,,,,,,,,0.244106278,-0.084131004,-0.411223429,0.531789507,0.110015059,1.061188056,0.204973599,-0.725324787,-0.669629473,-0.005964221,0.074440723,0.149982445,-0.347121185,-1.216883258,-2.452141897,-2.868301506,-3.213665031,-3.308751518,-2.315658087,-1.763796667,-1.323999555,0.046296529,-0.791448803,-1.23616054,-1.669252924,-1.486449358,-1.544967362,-1.640613309,-2.372738757,-2.976139485,-3.920351703,-3.724113129,-4.170551601,-4.55826395,-5.206329634,-5.747109583,-5.911436634,-5.096603956,-4.734135671,-2.628124854,-2.881540026,-2.929352576,-2.58141514,-2.006887259,-2.098525502,-2.235185769,-2.109900254,-1.871276097,-2.185114231,-2.240577317,
Trade in services (% of GDP),BG.GSR.NFSV.GD.ZS,,,,,,,,,,,2.431745742,2.435506718,2.376652516,2.534769773,2.745846446,2.706385646,2.801839638,2.820600761,2.855078608,2.856937869,3.098022019,3.18455449,3.440109409,3.260285115,3.418455409,3.344634763,3.643459484,3.901948729,4.001384147,4.070668146,4.452852388,4.591654381,4.551825392,4.515263337,4.576083442,4.720089626,4.856423574,4.920353489,4.892992335,4.929462704,5.061788074,4.78245645,4.768818728,4.800709479,5.200229941,5.298236262,5.591304575,6.096952793,6.534698489,6.436454501,6.793566022,7.095719769,7.127446294,7.062011616,7.118276646,6.947306082,6.905849453,7.045422823,6.921719829,6.831416792,
Urban land area where elevation is below 5 meters (% of total land area),AG.LND.EL5M.UR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.187350011,,,,,,,,,,0.187350011,,,,,,,,,,0.187350011,,,,,,,,,,
Commercial service exports (current US$),TX.VAL.SERV.CD.WT,,,,,,,,,,,9620000000,10520000000,11630000000,14080000000,16970000000,18830000000,21640000000,23190000000,26870000000,31801300000,38110000000,46020000000,50850000000,51040000000,60414000000,63493000000,74898000000,84322000000,98260000000,1.15E+11,1.34E+11,1.49E+11,1.61E+11,1.68E+11,1.83E+11,2.00E+11,2.19E+11,2.35E+11,2.40E+11,2.70E+11,2.89E+11,2.76E+11,2.80E+11,2.89E+11,3.33E+11,3.63E+11,4.04E+11,4.75E+11,5.22E+11,5.02E+11,5.63E+11,6.23E+11,6.63E+11,6.98E+11,7.37E+11,7.48E+11,7.62E+11,8.10E+11,8.40E+11,8.53E+11,
Ores and metals exports (% of merchandise exports),TX.VAL.MMTL.ZS.UN,,,3.974741486,4.067644933,4.532926923,4.532898748,4.395824277,4.444128113,4.50093662,5.03147991,5.210721051,3.306247348,3.087635971,3.596230239,3.746546174,3.356271643,2.878422861,2.707282612,2.922138647,3.957638543,5.104145108,3.052554737,2.72544455,2.879692068,2.879716217,2.815060067,2.655566031,2.55384204,,3.214086609,3.042688212,2.77790676,2.302431129,2.094217202,2.15048546,2.621972375,2.178008379,2.116907719,1.904051404,1.765671678,1.869889949,1.912058304,1.911700268,2.013235299,2.390148588,2.785797649,3.520560996,3.738648087,3.968718925,3.393692265,3.958739863,4.022657263,3.508445557,3.210713581,3.062480362,2.808836002,2.601304399,2.746244566,2.957411948,2.821153231,
Merchandise imports from low- and middle-income economies within region (% of total merchandise imports),TM.VAL.MRCH.WR.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ICT goods imports (% total goods imports),TM.VAL.ICTG.ZS.UN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,17.6557019,15.26125503,14.83563646,14.08095897,14.16979294,13.64447319,13.46385801,12.80473188,11.8362551,14.3971175,14.22462076,12.83810637,12.81327979,12.96091844,12.86420128,13.78118874,14.06206254,14.27534938,13.60394316,12.92936008,
"Tariff rate, most favored nation, simple mean, all products (%)",TM.TAX.MRCH.SM.FN.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.75,5.73,5.72,5.74,5.76,,5.34,5.09,4.99,4.51,4.19,4.15,4.09,4,3.86,3.73,3.69,3.68,3.63,3.68,3.7,3.71,3.72,3.57,3.55,3.54,3.56,3.57,3.97,4.2,10.17,
"International tourism, expenditures (current US$)",ST.INT.XPND.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61042000000,65477000000,71948000000,78423000000,77260000000,85490000000,82185000000,79362000000,81708000000,93343000000,98694000000,1.05E+11,1.13E+11,1.19E+11,1.15E+11,1.24E+11,1.31E+11,1.38E+11,1.32E+11,1.40E+11,1.45E+11,1.48E+11,1.58E+11,1.73E+11,1.82E+11,
Completeness of death registration with cause-of-death information (%),SP.REG.DTHS.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98.4,,,,,98,,,,,97.4,,,,,,,98,,,,,,,100,,,,
Age dependency ratio (% of working-age population),SP.POP.DPND,66.13173531,66.64803238,66.69215837,66.39293161,65.92429088,65.36683363,64.81403345,64.18004604,63.45836482,62.62629531,61.67697799,60.44536393,59.24133826,58.04715608,56.83556011,55.60704511,54.88785721,54.08452511,53.28491357,52.59060099,52.04431808,51.6006138,51.26374709,51.04708902,50.93317278,50.90297759,51.14187287,51.40640471,51.68664451,51.96227796,52.21228804,52.60544199,52.9175937,53.12005973,53.17880751,53.08725084,53.04141652,52.79262671,52.41475088,52.00216054,51.59926482,51.15428897,50.80181132,50.47969551,50.11068925,49.68456775,49.69711035,49.6149867,49.52142753,49.52581393,49.67051519,49.86975281,50.11544283,50.42591517,50.79304026,51.20955058,51.64616755,52.15580568,52.71067709,53.27766652,
"Population ages 60-64, male (% of male population)",SP.POP.6064.MA.5Y,3.862331368,3.873289849,3.913118693,3.960600139,3.997550022,4.02415595,4.053910303,4.072619619,4.076420221,4.072220567,4.072217323,4.083866151,4.101207207,4.118113473,4.13313795,4.14954195,4.187580784,4.218791139,4.235457193,4.244259504,4.256327899,4.267692912,4.296798219,4.325680128,4.337453272,4.326819986,4.284055352,4.23331196,4.174010672,4.106678688,4.033168025,3.934807118,3.834093438,3.742351552,3.67575486,3.642432751,3.6218135,3.639200043,3.683548697,3.738065312,3.792518575,3.844264335,3.891217417,3.949688593,4.045345796,4.191052707,4.361779924,4.578704584,4.8168099,5.041444835,5.233325717,5.370178172,5.479505917,5.570682362,5.660146379,5.75698374,5.845688617,5.935264878,6.01922432,6.088045396,
"Population ages 20-24, male (% of male population)",SP.POP.2024.MA.5Y,6.206072467,6.306992748,6.447545401,6.613360642,6.799891645,7.011715745,7.296070616,7.554658189,7.748616913,7.87874797,7.986681049,8.308940287,8.614862696,8.872053465,9.070416479,9.222964938,9.345771197,9.465724658,9.574006188,9.657839513,9.713293556,9.738360604,9.721174907,9.64956569,9.518343184,9.33614115,9.111267739,8.859993781,8.600604746,8.351295798,8.122174464,7.885923734,7.657838387,7.450796855,7.275280779,7.139383546,7.077379094,7.040667648,7.01773235,7.001280638,6.994658349,6.996176933,7.024284477,7.081057561,7.158121585,7.242865282,7.260724114,7.267878673,7.269991595,7.272073905,7.277325061,7.337296217,7.400021374,7.450892776,7.468736519,7.440238922,7.375933342,7.268988718,7.139412491,7.015787419,
"Population ages 0-14, male (% of male population)",SP.POP.0014.MA.ZS,31.62952177,31.75681627,31.71930469,31.55644452,31.32718605,31.06112603,30.76452938,30.43673762,30.06758164,29.65222492,29.19512231,28.53966443,27.90954948,27.28112598,26.63551503,25.97752766,25.60783505,25.18481573,24.73661022,24.31041034,23.93350471,23.57550845,23.27146797,23.02234162,22.819792,22.65958089,22.6024976,22.5801235,22.5844877,22.6039521,22.62885262,22.74930438,22.85235882,22.9208589,22.94339102,22.92120218,22.94169164,22.88895183,22.78633626,22.66668021,22.54236453,22.35764354,22.21597589,22.07612901,21.89191108,21.65409668,21.58121935,21.44354905,21.26724035,21.09040122,20.92573001,20.72513147,20.50593597,20.28563856,20.07245618,19.86863058,19.65737093,19.48337371,19.32595144,19.15918079,
"Life expectancy at birth, female (years)",SP.DYN.LE00.FE.IN,73.1,73.6,73.5,73.4,73.7,73.8,73.9,74.3,74.1,74.4,74.7,75,75.1,75.3,75.9,76.6,76.8,77.2,77.3,77.8,77.4,77.8,78.1,78.1,78.2,78.2,78.2,78.3,78.3,78.5,78.8,78.9,79.1,78.8,79,78.9,79.1,79.4,79.5,79.4,79.3,79.5,79.6,79.7,80.1,80.1,80.3,80.6,80.6,80.9,81,81.1,81.2,81.2,81.3,81.2,81.1,81.1,81.1,,
International migrant stock (% of population),SM.POP.TOTL.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.195660425,,,,,10.68481704,,,,,12.30631924,,,,,13.25668312,,,,,14.25848364,,,,,14.49065352,,,,,
"Share of youth not in education, employment or training, female (% of female youth population)",SL.UEM.NEET.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,22.32999992,22.32999992,21.12999916,19.71999931,18.60000038,18.29999924,18.20000076,18.53000069,19.30999947,19.11000061,19,18.81999969,18.19000053,17.72999954,18.36000061,19.97999954,20.19000053,19.85000038,19.70999908,19.06999969,17.89999962,16.27000046,15.71000004,14.67000008,14.31000042,13.57999992,18.5
"Labor force, total",SL.TLF.TOTL.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,127947290,128708473,130863546,132263501,134757739,136700078,138600058,141054778,142807783,144781937,146738408,147700623,148537335,149149961,150211571,152069624,153926385,155217717,157018960,157119031,156905914,156975333,158646244,158753171,159542326,160604120,162552800,164257517,165475054,167282980,165491966
Labor force with basic education (% of total working-age population with basic education),SL.TLF.BASC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.43000031,36.09999847,36.5,37.68000031,37.77999878,37.97000122,40.09000015,40.16999817,40.56000137,40.88000107,41.27000046,41.31000137,42.11000061,42.50999832,41.99000168,41.95999908,41.86999893,40.91999817,40.86999893,40.79000092,40.84999847,41.04000092,41.25999832,41.41999817,41.99000168,42.18999863,41.02000046
"Children in employment, work only (% of children in employment, ages 7-14)",SL.TLF.0714.WK.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Employment in services, female (% of female employment) (modeled ILO estimate)",SL.SRV.EMPL.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,84.44000244,84.56999969,84.72000122,84.79000092,84.98999786,85.22000122,85.45999908,85.76000214,86.08000183,86.44000244,87.27999878,88.19000244,88.43000031,88.76999664,89,89.20999908,89.27999878,89.72000122,90.66000366,90.80000305,90.51000214,90.48999786,90.51000214,90.44000244,90.41000366,90.52999878,90.54000092,90.47000122,90.37000275,
"Contributing family workers, female (% of female employment) (modeled ILO estimate)",SL.FAM.WORK.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5,0.49000001,0.430000007,0.209999993,0.189999998,0.200000003,0.189999998,0.150000006,0.150000006,0.140000001,0.140000001,0.119999997,0.129999995,0.119999997,0.119999997,0.109999999,0.129999995,0.109999999,0.079999998,0.100000001,0.100000001,0.090000004,0.079999998,0.079999998,0.090000004,0.079999998,0.07,0.079999998,0.07,
Female share of employment in senior and middle management (%),SL.EMP.SMGT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35.31000137,35.88000107,36.40000153,37.38000107,37.27000046,37.56000137,36.95000076,37.95000076,37.95000076,38.06999969,38.79999924,38.59000015,39.06999969,38.75,38.79999924,39.36999893,39.72999954,40.52999878,40.47000122,40.84999847,41.86000061
Child employment in agriculture (% of economically active children ages 7-14),SL.AGR.0714.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Multidimensional poverty headcount ratio, female (% of female population)",SI.POV.MDIM.FE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Income share held by second 20%,SI.DST.02ND.20,,,,,,,,,,,,,,,12,,,,,12.1,,,,,,,11.3,,,,,11.1,11,10.5,10.6,10.7,10.5,10.5,10.7,10.7,10.7,10.6,10.6,10.5,10.7,10.5,10.4,10.5,10.5,10.5,10.6,10.3,10.3,10.4,10.2,10.3,10.3,10.2,10.3,,
Current health expenditure per capita (current US$),SH.XPD.CHEX.PC.CD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4564.455078,4914.94043,5332.493164,5741.299316,6103.584473,6454.683105,6821.107422,7172.166016,7410.700684,7681.247559,7930.151367,8130.756348,8399.239258,8599.527344,9023.611328,9491.09082,9877.871094,10209.63086,10623.84961,,
"Incidence of tuberculosis (per 100,000 people)",SH.TBS.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.7,6.4,6,5.9,5.7,5.5,5.3,5.1,4.9,4.3,4.2,3.9,3.6,3.3,3.2,3.2,3.1,3.1,3,3,
"Prevalence of stunting, height for age, female (% of children under 5)",SH.STA.STNT.FE.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Maternal mortality ratio (modeled estimate, per 100,000 live births)",SH.STA.MMRT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12,13,13,13,13,13,14,14,14,15,15,15,16,16,16,18,19,19,,,
Pregnant women receiving prenatal care (%),SH.STA.ANVC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Incidence of malaria (per 1,000 population at risk)",SH.MLR.INCD.P3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Adults (ages 15-49) newly infected with HIV,SH.HIV.INCD,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38000,36000,35000,34000,34000,34000,34000,35000,35000,36000,36000,36000,37000,37000,37000,38000,38000,39000,40000,39000,37000,36000,36000,35000,35000,35000,34000,33000,33000,,
"Mortality rate, under-5, male (per 1,000 live births)",SH.DYN.MORT.MA,33.7,33,32.4,31.8,31,30.3,29.5,28.8,27.9,27,26,25,24.1,23,22,20.9,19.9,19,18.1,17.3,16.6,15.9,15.4,14.8,14.4,14.1,13.8,13.5,13.1,12.8,12.4,12.1,11.6,11.2,10.8,10.4,10.1,9.8,9.6,9.4,9.3,9.1,9.1,9,8.9,8.8,8.6,8.5,8.3,8.2,8,7.9,7.7,7.6,7.5,7.4,7.3,7.3,7.2,7,
Number of deaths ages 15-19 years,SH.DTH.1519,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,15791,15589,15469,15377,15213,14963,14568,14134,13783,13598,13570,13645,13771,13908,14026,14037,13746,13243,12608,11920,11257,10722,10321,10090,10082,10266,10611,10962,11218,11277,
Women who believe a husband is justified in beating his wife when she argues with him (%),SG.VAW.ARGU.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Current education expenditure, total (% of total expenditure in public institutions)",SE.XPD.CTOT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,91.39936829,91.28842163,,,,,,
"Educational attainment, Doctoral or equivalent, population 25+, male (%) (cumulative)",SE.TER.CUAT.DO.MA.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.207360029,2.315520048,2.066400051,2.255800009,,2.452909946,,
Trained teachers in lower secondary education (% of total teachers),SE.SEC.TCAQ.LO.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"Pupil-teacher ratio, upper secondary",SE.SEC.ENRL.UP.TC.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.77404,14.68497,,14.70795,,,
"Educational attainment, at least completed lower secondary, population 25+, female (%) (cumulative)",SE.SEC.CUAT.LO.FE.ZS,,,,,,,,,,,,,,,,,,,,,93.01367188,,,,,,,,,,,,,,,,,,,,,,,,93.89354706,93.88050842,94.46581268,,94.7097168,94.71217346,94.93398285,95.04402161,95.143013,95.3915863,95.42984772,95.4783783,95.70406342,,96.07595825,,
Trained teachers in primary education (% of total teachers),SE.PRM.TCAQ.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Net intake rate in grade 1 (% of official school-age population),SE.PRM.NINT.ZS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,75.41844,,,,,75.67508,,,71.16051,73.07467,72.66274,,,,,
"Educational attainment, at least completed primary, population 25+ years, total (%) (cumulative)",SE.PRM.CUAT.ZS,,,,,,,,,,,94.5,,,,,,,,,,96.43016052,,,,,,,,,,,,,,,,,,,,,,,,98.47055054,98.42295837,98.54376984,,98.67672729,98.59417725,98.68843079,98.71730042,98.79048157,98.86701965,98.79341125,98.77388,98.87711334,,99.03153229,,
"School enrollment, secondary (gross), gender parity index (GPI)",SE.ENR.SECO.FM.ZS,,,,,,,,,,,,,0.561649978,,,,,,1.022719979,,,1.054540038,1.050289989,1.044880033,1.03550005,1.024790049,1.03252995,1.027639985,,,1.001170039,1.017269969,,0.998359978,0.992569983,1.014580011,1.000249982,,1.037469983,,1.015709996,1.017009974,0.992649972,1.002629995,1.02046001,1.018540025,0.995549977,1.008900046,0.997720003,1.015619993,1.011600018,1.004520059,1.005120039,1.002490044,1.011940002,1.010499954,0.994159997,0.994930029,0.990580022,,
Coverage of social insurance programs in poorest quintile (% of population),per_si_allsi.cov_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coverage of unemployment benefits and ALMP in poorest quintile (% of population),per_lm_alllm.cov_q1_tot,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Taxes less subsidies on products (constant LCU),NY.TAX.NIND.KN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.55E+11,4.80E+11,5.05E+11,5.27E+11,5.27E+11,5.30E+11,5.43E+11,5.62E+11,5.85E+11,5.98E+11,6.09E+11,6.01E+11,5.68E+11,5.87E+11,5.99E+11,6.15E+11,6.28E+11,6.47E+11,6.63E+11,6.75E+11,6.92E+11,7.12E+11,,
"GNI per capita, Atlas method (current US$)",NY.GNP.PCAP.CD,,,3280,3410,3610,3880,4190,4370,4740,5070,5230,5620,6280,7290,7980,8510,8960,9590,10760,12200,13380,14360,14220,14570,16210,17460,19110,21390,23490,23770,24060,24270,25680,26390,27650,29040,30270,31270,32030,33670,35960,36710,37310,39770,43510,46190,47880,48500,48980,47730,48990,50570,52770,53950,55860,56750,57210,59080,63170,65850,
